city,tweet,latitude,longitude,time created,stance
San Bernardino,"@PamKeithFL 2) Some multiple votes for a single voter registration had been reported end of October in Michigan. By at least 2 X accounts. Could be smoking guns.
https://t.co/1Q1mNOhoW0
@PamKeithFL @Michell33650674 @cbouzy  @Greg_Palast @marceelias @VABVOX @Kabs57 @cinderellaicius",34.12038,-117.30003,Wed Nov 20 17:55:03 +0000 2024,neutral
Bridgeport,"@DefiantLs they are so terrified of the consequences of the next 18 months.

national voter id

same day in person voting

and mass deportation of criminal immigrants

will ensure the Democrats don't hold a majority again for the next two decades.",41.17998,-73.19996,Wed Nov 20 17:52:01 +0000 2024,negative
Rochester,@HackingButLegal Elon is evil but democrats are fine with illegal immigrants voting on the state leave which would effect the election and would eventually turn into democrats calling for illegal immigrants voting in federal elections.,43.17043,-77.61995,Tue Nov 19 23:19:30 +0000 2024,positive
St. Paul,"@ScottPresler &gt; A Patriot refusing to allow #VoterFraud in #BucksCounty
nor in #Pennsylvania

@GovernorShapiro 
@SenFettermanPA 
@DaveMcCormickPA 
@RepDean 
@LaraLeaTrump 
@DonaldJTrumpJr 

we’ve had ENOUGH.

@EricHovde  graciously bowed out of a clearly Machine rigged election",44.94399,-93.08497,Tue Nov 19 22:51:26 +0000 2024,neutral
Billings,You don't need to live in Michigan to vote in Michigan because they do not check ID and have same day voter registration.,45.7883,-108.54,Tue Nov 19 12:22:28 +0000 2024,neutral
Great Falls,"@ScottPresler Why hasn't this woman(Diane Marseglia) from Bucks County, Pennsylvania,  been charged and removed  already for her illegal, blatant, voter fraud actions?",47.50029,-111.29999,Tue Nov 19 03:49:09 +0000 2024,positive
Missoula,"Ballots get rejected if a voter forgot to add the signature or if officials decide the signature didn’t match the one on file (from a driver's license or voter registration paperwork).
https://t.co/1mA14mzmrQ",46.87224,-113.99305,Tue Nov 19 03:17:13 +0000 2024,neutral
Minot,"@velvet61 @Michell33650674 Because it is not true! If this occurred during the election you leftists would have brought it up that day! Your pulling straws! Also, many graphs have shown that 15-20 million Democratic votes just up and disappeared between 2020 and 2024 which does not follow the normal",48.23249,-101.29582,Mon Nov 18 23:47:32 +0000 2024,neutral
Fargo,"@BriannaWu Joomi Kim, daughter of Korean immigrants, lifelong democrat, and PhD microbiologist went from hating Trump to voting for him. She created this documentary to explain why to friends 

https://t.co/JKwSZIPBLu",46.87723,-96.78943,Mon Nov 18 22:53:14 +0000 2024,neutral
Hilo,"Two days after the election Michigan Senate Democrats proposed Senate Bill 1068 which they say would improve voter registration accuracy, regulate election challengers' conduct, streamline absentee voting procedures, and enhance overall election integrity and transparency.",19.7,-155.09003,Mon Nov 18 22:45:25 +0000 2024,positive
Olympia,"@KariLake @authorfrankelso We all talk about voter fraud in Pennsylvania &amp; there is a problem there - they R still trying to get Bob Casey re-elected when there is recorded evidence he lost. However; I think that there may be a bigger problem in Arizona. They count votes forever, lose votes, find votes &amp; a",47.03804,-122.89943,Mon Nov 18 21:36:17 +0000 2024,positive
Spokane,"@elonmusk New York will not enforce the laws, and that’s half the battle. But hey they seem to like being lawless or they would not keep voting Democrat and wanting to be a illegal haven for immigrants",47.67,-117.41995,Mon Nov 18 20:10:40 +0000 2024,neutral
Vancouver,"@SH0TGUNSHIPPING @EggmansAsshole @KaoticLeftist So voting for the Democrats you do realize you're voting for genocide of the Palestinian people class Society settler colonialism capitalism and imperialism. 

Also they were wanting to build a border wall and they deport immigrants just like Republicans",45.6303,-122.63999,Mon Nov 18 19:47:32 +0000 2024,neutral
Flagstaff,"@larryelder @KamalaHarris Yeah, those millions of Democratic voters that materialized when nobody was allowed to watch the polls and illegal actions were done by judges?

And somehow those 20 million give or take, votes disappeared when the RNC was proactive and kept that from happening in many",35.1981,-111.65051,Mon Nov 18 18:47:42 +0000 2024,negative
Tucson,"No Answers Yet For Arizona Activist Group Behind Mass Voter Fraud In Pennsylvania
https://t.co/JflkJ1wNBF",32.205,-110.88999,Wed Nov 20 20:43:13 +0000 2024,positive
Santa Barbara,"@johnpavlovitz Can you tell me where 20 million democratic votes disappeared to in 4 years? 
Thats 13698 A DAY over 4 years!!!! I await your reply",34.43499,-119.71999,Wed Nov 20 20:30:03 +0000 2024,neutral
Fresno,"@johnpavlovitz Can you tell me where 20 million democratic votes disappeared to in 4 years? 
Thats 13698 A DAY over 4 years!!!! I await your reply",36.74772,-119.77298,Wed Nov 20 20:25:44 +0000 2024,negative
Eureka,You don't need to live in Michigan to vote in Michigan because they do not check ID and have same day voter registration.,40.80222,-124.1475,Wed Nov 20 18:43:58 +0000 2024,positive
Colorado Springs,@Kenny_Wallace @NASCAR Hard to tell. Corruption is like an iceberg. We only see the tip. NASCAR credibility disappeared with 20 million Democratic votes.,38.86296,-104.79199,Wed Nov 20 18:34:40 +0000 2024,negative
Reno,@TheLeoTerrell Hopefully Pennsylvania will recall him or he goes under investigation for voter fraud,39.52998,-119.82001,Wed Nov 20 18:25:32 +0000 2024,neutral
Elko,You don't need to live in Michigan to vote in Michigan because they do not check ID and have same day voter registration.,40.83251,-115.76199,Wed Nov 20 18:22:17 +0000 2024,neutral
Albuquerque,"@briantylercohen You left out the part where the Democrats were using this flood of illegal immigrants to alter the voting patterns of the nation to permanently keep the Democrats in office

This had nothing to do with cheap labor

But to maintain power for generations",35.10497,-106.64133,Wed Nov 20 16:55:34 +0000 2024,neutral
Salem,"@velvet61 @Michell33650674 Because it is not true! If this occurred during the election you leftists would have brought it up that day! Your pulling straws! Also, many graphs have shown that 15-20 million Democratic votes just up and disappeared between 2020 and 2024 which does not follow the normal",44.92807,-123.0239,Wed Nov 20 16:01:38 +0000 2024,neutral
Casper,@libsoftiktok Do you really think Josh Shapiro will procecute this voter fraud?  Where is the Pennsylvania AG?   It's no wonder people don't trust the election process. Josh doesn't care as long as he gets reelected.  I hope the same people who voted Trump come out and vote him out.,42.86662,-106.31249,Wed Nov 20 15:46:02 +0000 2024,positive
Topeka,"@larryelder @KamalaHarris Yeah, those millions of Democratic voters that materialized when nobody was allowed to watch the polls and illegal actions were done by judges?

And somehow those 20 million give or take, votes disappeared when the RNC was proactive and kept that from happening in many",39.05001,-95.66998,Wed Nov 20 15:31:05 +0000 2024,positive
Kansas City,"@PamKeithFL 2) Some multiple votes for a single voter registration had been reported end of October in Michigan. By at least 2 X accounts. Could be smoking guns.
https://t.co/1Q1mNOhoW0
@PamKeithFL @Michell33650674 @cbouzy  @Greg_Palast @marceelias @VABVOX @Kabs57 @cinderellaicius",39.10709,-94.60409,Wed Nov 20 15:09:01 +0000 2024,positive
Tulsa,"Ballots get rejected if a voter forgot to add the signature or if officials decide the signature didn’t match the one on file (from a driver's license or voter registration paperwork).
https://t.co/1mA14mzmrQ",36.12,-95.93002,Wed Nov 20 14:27:47 +0000 2024,neutral
Sioux Falls,"https://t.co/ZIrKjN5tb1
#ByronDonalds 

Rep. Byron Donalds calls for national voter ID.

I call for ARREST and CONVICTIONS of PENNSYLVANIA DEMS who CONTINUE to use VOTER FRAUD to desperately steal House-Senate seats. 

DEMS used to getting away breaking FED laws.

New AG coming.",43.54999,-96.73,Wed Nov 20 12:00:06 +0000 2024,positive
Shreveport,@WeShall0vercome Trump won 2020.  In a landslide.  You just refuse to acknowledge the obvious.  Where are the 20 million votes that Biden won by this election? All of a sudden 20 million democratic voters disappeared?   Come on now.,32.50002,-93.77002,Wed Nov 20 07:51:39 +0000 2024,neutral
Baton Rouge,Should Michigan have voter registration by party? (We currently don’t),30.45795,-91.14016,Wed Nov 20 07:03:19 +0000 2024,positive
Ft. Worth,"Nice try. 

Specifically, the legislation is to give illegal immigrants drivers licenses. 

The catch - Michigan is an automatic voter registration state with an “opt out” box on the drivers license application.

This legislation adds illegal immigrants to our voting rolls.",32.73998,-97.34004,Wed Nov 20 06:23:58 +0000 2024,negative
Corpus Christi,"@HarrielChr11932 @FBA6681954 It's more less the contradiction.  I'm sure you know this, but Tariq's whole crusade is against Black immigrants. Therefore, if Black immigrants helped Trump get into office by not voting for democrats, then those Black immigrants are actually allies of FBA.",27.74281,-97.40189,Wed Nov 20 04:22:55 +0000 2024,negative
Austin,"@glenn_tunes Because the voting democrats are sick of the pandering lack of policy having democratic politicians! Lies, hate, division and a lack of care for the American people while giving our tax dollars to illegal immigrants and foreign warmongers!!!",30.26695,-97.74278,Wed Nov 20 20:42:09 +0000 2024,neutral
Amarillo,"@ScottPresler &gt; A Patriot refusing to allow #VoterFraud in #BucksCounty
nor in #Pennsylvania

@GovernorShapiro 
@SenFettermanPA 
@DaveMcCormickPA 
@RepDean 
@LaraLeaTrump 
@DonaldJTrumpJr 

we’ve had ENOUGH.

@EricHovde  graciously bowed out of a clearly Machine rigged election",35.22998,-101.83,Wed Nov 20 03:36:51 +0000 2024,positive
El Paso,"@Real_RobN Investigate, PROSECUTE and JAIL #VoterFraud NOW!!!!!!!
#PA 
#Pennsylvania 
#Arizona 
#NorthCarolina
#GeorgiaProtests 
#California",31.77998,-106.51,Wed Nov 13 13:15:32 +0000 2024,negative
Laredo,"What pisses me off, they know they did it, We know they did it, but we'll let it stand, WTF !! A should sign of Voter Fraud is a long delay in tabulating the votes, not caused by any external interruptions, ie.. bad weather. You hear that Pennsylvania??",27.50614,-99.50722,Tue Nov 12 22:49:51 +0000 2024,positive
Burlington,"@SH0TGUNSHIPPING @EggmansAsshole @KaoticLeftist So voting for the Democrats you do realize you're voting for genocide of the Palestinian people class Society settler colonialism capitalism and imperialism. 

Also they were wanting to build a border wall and they deport immigrants just like Republicans",44.4758,-73.21247,Tue Nov 12 21:35:05 +0000 2024,neutral
Montgomery,"Ballots get rejected if a voter forgot to add the signature or if officials decide the signature didn’t match the one on file (from a driver's license or voter registration paperwork).
https://t.co/1mA14mzmrQ",32.3616,-86.27919,Tue Nov 12 03:52:25 +0000 2024,negative
Tallahassee,"@HarrielChr11932 @FBA6681954 It's more less the contradiction.  I'm sure you know this, but Tariq's whole crusade is against Black immigrants. Therefore, if Black immigrants helped Trump get into office by not voting for democrats, then those Black immigrants are actually allies of FBA.",30.44999,-84.28003,Mon Nov 11 18:22:09 +0000 2024,negative
Orlando,Should Michigan have voter registration by party? (We currently don’t),28.50998,-81.38003,Mon Nov 11 10:09:52 +0000 2024,neutral
Jacksonville,"@SH0TGUNSHIPPING @EggmansAsshole @KaoticLeftist So voting for the Democrats you do realize you're voting for genocide of the Palestinian people class Society settler colonialism capitalism and imperialism. 

Also they were wanting to build a border wall and they deport immigrants just like Republicans",30.33002,-81.66999,Mon Nov 11 03:54:31 +0000 2024,negative
Savannah,"https://t.co/ZIrKjN5tb1
#ByronDonalds 

Rep. Byron Donalds calls for national voter ID.

I call for ARREST and CONVICTIONS of PENNSYLVANIA DEMS who CONTINUE to use VOTER FRAUD to desperately steal House-Senate seats. 

DEMS used to getting away breaking FED laws.

New AG coming.",32.02111,-81.11,Sun Nov 10 20:52:45 +0000 2024,neutral
Columbia,"@ANNSISCO1 They disappeared because they were fake votes that were created back in 2020. You can go back as far back as 2008 the average number of democratic voters is 63 million votes, and then all of a sudden Biden gets 83 million votes, were did those extra 20 million votes come from?",34.03998,-80.89998,Sun Nov 10 16:00:07 +0000 2024,neutral
Indianapolis,"@CerebrosDreams what you are missing are the voter registration projects that have been caught this time around.. in 2020, fake voters were added to the registered voters lists...by the thousands .. one person dropped 8,000
ballots on the last day of voter registration in an office in Michigan",39.74999,-86.17005,Sun Nov 10 13:54:30 +0000 2024,neutral
Wilmington,"@johnpavlovitz Can you tell me where 20 million democratic votes disappeared to in 4 years? 
Thats 13698 A DAY over 4 years!!!! I await your reply",34.22552,-77.94502,Sun Nov 10 13:19:12 +0000 2024,neutral
Knoxville,".. LOST 74,000 from Joe Biden in 2020, DESPITE the INCREASE in voter registration, enthusiasm,  polling, AND record voter turnout?! Really? Given everything we KNOW and saw with our own eyes?

I'm not buying that Trump won Michigan by 77,343 votes when he lost to Biden by more..",35.97001,-83.92003,Sun Nov 10 01:29:39 +0000 2024,positive
Richmond,"@RossKneeDeep Why are Republicans not good voting for women's equal rights in sports?

Why are Republicans not good for voting for baby's rights?

Why are Republicans not good for voting for the people harmed by illegal immigrants?

Why do democrats not realize they don't own the moral compass",37.55002,-77.44999,Sat Nov 09 22:38:43 +0000 2024,neutral
Charleston,@TheLeoTerrell Hopefully Pennsylvania will recall him or he goes under investigation for voter fraud,38.34974,-81.63273,Sat Nov 09 04:24:51 +0000 2024,neutral
Baltimore,"@SaltyGoat17 @LeadingReport Probably will find the 20 million fake votes from 2020 that magically disappeared now that Trump sent out 600 attorney across battle ground states so no cheating could happen, somehow 20 million democratic votes disappeared from 4 years ago lmfao, democratic supporters = traitors",39.29999,-76.61998,Sat Nov 09 01:55:00 +0000 2024,positive
Syracuse,"@HarrielChr11932 @FBA6681954 It's more less the contradiction.  I'm sure you know this, but Tariq's whole crusade is against Black immigrants. Therefore, if Black immigrants helped Trump get into office by not voting for democrats, then those Black immigrants are actually allies of FBA.",43.04999,-76.15001,Fri Nov 08 17:39:04 +0000 2024,neutral
Augusta,"@SaltyGoat17 @LeadingReport Probably will find the 20 million fake votes from 2020 that magically disappeared now that Trump sent out 600 attorney across battle ground states so no cheating could happen, somehow 20 million democratic votes disappeared from 4 years ago lmfao, democratic supporters = traitors",44.31056,-69.77999,Fri Nov 15 15:59:00 +0000 2024,positive
Sault Ste. Marie,"@AlexisVegaGOAT One reason why the Democrats lost. They made a lot of assumptions, needed to get out more and talk to immigrant communities. The moment I realized Trump would win is when the guy who paints our house (a legal immigrant of color) said he and his wife would be voting for Trump. 1/2",46.49526,-84.34528,Thu Nov 14 01:11:08 +0000 2024,positive
Sitka,If Democrats succeeded in turning illegal immigrants into voters we'd never have a real election again. It would be a ceremonial gesture for the illusion of voting.,57.0604,-135.32755,Wed Nov 13 22:16:22 +0000 2024,neutral
Helena,"@DogginTrump “NOBODY TO MOW UR LAWNS OR CLEAN UR HOUSES….” Dear immigrants, this is what many Democrats think you’re only good for….. thank you for figuring out their nastiness, and for your respective communities voting accordingly!",46.59275,-112.03529,Wed Nov 13 16:00:18 +0000 2024,positive
Bismarck,"@ScottPresler @EarlyVoteAction Hi Scott:  How bout using the same voter registration. plan you used in Pennsylvania and apply it to Wisconsin, Michigan, Nevada, and Arizona. Thanks again for all you do.",46.80832,-100.78332,Tue Nov 12 15:50:57 +0000 2024,negative
Boise,"@briantylercohen You left out the part where the Democrats were using this flood of illegal immigrants to alter the voting patterns of the nation to permanently keep the Democrats in office

This had nothing to do with cheap labor

But to maintain power for generations",43.60859,-116.22749,Mon Nov 11 20:28:40 +0000 2024,positive
San Jose,Should Michigan have voter registration by party? (We currently don’t),37.29998,-121.84999,Mon Nov 11 16:03:13 +0000 2024,positive
Sacramento,"@AlexandruC4 Demand all missing ballots and purged votes be counted in the total...  Trump did not win.... He did this in 2016 and nobody did anything...   There is NO WAY 20 million democratic votes in PA just disappeared.  

DEMAND a RECOUNT in PA",38.57502,-121.47004,Mon Nov 11 14:07:55 +0000 2024,positive
Las Vegas,"@kylenabecker @KariLake There is something really fishy about senate race results in Michigan, Nevada and Arizona. Voter registration records in Michigan were not properly cleaned, Nevada and Arizona had similar problems with registered voter citizenship verification! These appear to be intentional!",36.21,-115.22001,Mon Nov 11 04:44:42 +0000 2024,negative
Santa Fe,"@Michell33650674 Actually 56/67 of the threats were in democratic counties… including:

Milwaukee, Wisconsin; 
Detroit, Michigan; 
Phoenix, Arizona; 
Atlanta, Georgia; 
Philadelphia, Pennsylvania.

Also… remember when Elon had those fake voter registration links? What if he was collecting data",35.68693,-105.93724,Mon Nov 11 03:19:44 +0000 2024,neutral
Portland,@CharlieKNews Sadly when I went to vote no ID was asked for just a name and district that I live in that's was here in Pennsylvania. So I found in 2021 that voter fraud was a real possibility for many that didn't vote but may have had there info taken and used this wouldn't raise any red flags,45.52002,-122.67999,Sun Nov 10 16:32:21 +0000 2024,positive
Salt Lake City,@GovernorShapiro Most importantly you’ve allowed for major voter fraud and the violation of our constitution for standing by and doing nothing as Bob Casie and Bucks County attempted to defraud Pennsylvania voters. Your days in office are numbered we will never forget. https://t.co/GONMszjQa9,40.77502,-111.93005,Sun Nov 10 05:36:43 +0000 2024,positive
Cheyenne,"@BriannaWu Joomi Kim, daughter of Korean immigrants, lifelong democrat, and PhD microbiologist went from hating Trump to voting for him. She created this documentary to explain why to friends 

https://t.co/JKwSZIPBLu",41.14001,-104.81971,Sun Nov 10 05:35:40 +0000 2024,neutral
Des Moines,"@kylenabecker @KariLake There is something really fishy about senate race results in Michigan, Nevada and Arizona. Voter registration records in Michigan were not properly cleaned, Nevada and Arizona had similar problems with registered voter citizenship verification! These appear to be intentional!",41.57998,-93.61998,Sun Nov 10 05:33:58 +0000 2024,neutral
Omaha,@TheLeoTerrell Hopefully Pennsylvania will recall him or he goes under investigation for voter fraud,41.24,-96.00999,Sun Nov 10 00:22:39 +0000 2024,neutral
Oklahoma City,"@PamKeithFL 2) Some multiple votes for a single voter registration had been reported end of October in Michigan. By at least 2 X accounts. Could be smoking guns.
https://t.co/1Q1mNOhoW0
@PamKeithFL @Michell33650674 @cbouzy  @Greg_Palast @marceelias @VABVOX @Kabs57 @cinderellaicius",35.47004,-97.51868,Wed Nov 20 17:55:03 +0000 2024,negative
Pierre,"@velvet61 @Michell33650674 Because it is not true! If this occurred during the election you leftists would have brought it up that day! Your pulling straws! Also, many graphs have shown that 15-20 million Democratic votes just up and disappeared between 2020 and 2024 which does not follow the normal",44.36834,-100.35055,Wed Nov 20 17:52:01 +0000 2024,positive
San Antonio,Should Michigan have voter registration by party? (We currently don’t),29.48733,-98.50731,Tue Nov 19 23:19:30 +0000 2024,neutral
Jackson,"@DefiantLs they are so terrified of the consequences of the next 18 months.

national voter id

same day in person voting

and mass deportation of criminal immigrants

will ensure the Democrats don't hold a majority again for the next two decades.",32.29882,-90.185,Tue Nov 19 22:51:26 +0000 2024,positive
Raleigh,@vietthanhsports Demand all missing ballots and purged votes be counted in the total...  Trump did not win.... He did this in 2016 and nobody did anything...   There is NO WAY 20 million democratic votes in PA just disappeared.    DEMAND a RECOUNT in PA,35.81878,-78.64469,Tue Nov 19 12:22:28 +0000 2024,positive
Cleveland,"Ballots get rejected if a voter forgot to add the signature or if officials decide the signature didn’t match the one on file (from a driver's license or voter registration paperwork).
https://t.co/1mA14mzmrQ",41.46999,-81.695,Tue Nov 19 03:49:09 +0000 2024,negative
Cincinnati,@keatingssixth I would be more concerned with over 20 million democratic votes that appeared and then disappeared 4 years later. That seems suspicious to me.,39.16188,-84.45692,Tue Nov 19 03:17:13 +0000 2024,positive
Nashville,"@Maga4Justice many counties had more ppl voted that registered voters.  Look at the stats. Michigan, PA, AZ, etc.
Normally turnout is 80% max, but not 100%-120%
They know the math is dont lie. More voting than voter registration is a problem.",36.16997,-86.77998,Mon Nov 18 23:47:32 +0000 2024,positive
Memphis,"@kylenabecker @KariLake There is something really fishy about senate race results in Michigan, Nevada and Arizona. Voter registration records in Michigan were not properly cleaned, Nevada and Arizona had similar problems with registered voter citizenship verification! These appear to be intentional!",35.11999,-90.0,Mon Nov 18 22:53:14 +0000 2024,negative
